32.86.878,laptop
5.5.618,laptop
2.33.7,pc
46.535.65,mobile
1.16.1,pc
3.1.9,laptop
463.54.887,pc
666.678.5,pc
96.6.198,laptop
34.3.27,mobile
371.596.9,mobile
4.481.382,raspberry
934.675.42,raspberry
63.9.8,laptop
55.5.298,raspberry
1.65.7,pc
681.55.22,pc
6.1.83,laptop
57.37.4,pc
94.6.522,raspberry
44.64.39,mobile
31.532.32,raspberry
595.332.848,pc
477.247.8,pc
661.8.83,raspberry
246.192.585,mobile
72.562.41,pc
943.48.8,laptop
63.799.71,laptop
1.74.6,raspberry
31.5.1,laptop
224.65.6,raspberry
454.5.7,mobile
1.77.4,pc
4.17.212,pc
577.765.912,raspberry
84.9.37,laptop
682.63.164,mobile
1.424.85,laptop
5.624.741,pc
3.3.3,laptop
1.885.4,pc
56.672.453,raspberry
23.7.7,raspberry
16.34.7,mobile
647.732.869,mobile
664.49.525,raspberry
2.19.816,raspberry
531.5.76,raspberry
476.682.82,laptop
89.2.85,pc
566.63.693,laptop
35.85.18,pc
486.72.42,raspberry
3.4.583,pc
777.559.1,laptop
425.9.525,raspberry
613.813.7,pc
65.988.715,mobile
4.3.215,pc
15.922.21,mobile
5.14.47,mobile
9.269.284,raspberry
3.95.58,laptop
153.742.3,mobile
768.173.59,raspberry
5.5.83,pc
3.93.95,raspberry
17.751.8,laptop
7.291.8,raspberry
48.1.38,laptop
2.6.15,mobile
148.1.597,laptop
37.542.44,raspberry
34.64.11,mobile
484.385.13,raspberry
5.2.113,pc
5.623.211,mobile
21.225.754,laptop
6.353.18,pc
77.7.7,raspberry
777.71.166,mobile
49.1.917,pc
38.3.469,laptop
19.9.789,mobile
6.25.7,pc
98.61.14,mobile
74.755.2,pc
257.6.153,laptop
18.9.236,pc
224.515.7,mobile
35.5.53,mobile
2.3.27,mobile
861.84.8,laptop
77.88.673,pc
88.7.144,raspberry
394.91.83,laptop
713.218.4,raspberry
5.349.5,mobile
2.34.994,laptop
67.97.967,pc
56.6.99,raspberry
483.3.458,laptop
453.9.174,laptop
23.982.671,laptop
755.9.562,laptop
7.8.9,laptop
771.489.77,pc
56.4.1,raspberry
39.199.516,mobile
34.39.51,laptop
29.7.92,raspberry
426.87.988,pc
388.3.28,laptop
748.694.7,laptop
229.733.916,pc
44.299.62,pc
55.599.97,pc
983.494.74,raspberry
3.8.989,mobile
2.18.27,mobile
8.9.1,laptop
8.46.1,pc
8.52.113,mobile
852.79.5,mobile
96.17.289,pc
8.114.91,laptop
6.469.959,raspberry
8.88.3,raspberry
112.25.163,raspberry
4.966.4,raspberry
178.996.596,mobile
9.1.11,laptop
84.26.295,pc
3.688.9,raspberry
1.55.46,raspberry
443.96.576,raspberry
824.31.8,laptop
3.52.373,laptop
8.3.19,laptop
5.38.8,laptop
987.93.512,pc
58.414.9,laptop
24.6.1,raspberry
68.449.4,raspberry
9.486.1,raspberry
2.93.238,laptop
6.291.43,raspberry
187.1.373,laptop
148.141.5,mobile
724.699.85,pc
1.6.725,laptop
297.57.569,pc
927.2.2,laptop
633.2.8,pc
776.2.9,laptop
3.684.924,mobile
717.2.737,laptop
6.8.755,raspberry
652.698.34,pc
576.485.117,raspberry
83.44.381,laptop
92.61.42,mobile
684.8.3,laptop
25.52.983,mobile
168.89.11,raspberry
96.165.6,laptop
57.528.3,mobile
6.8.789,laptop
46.9.74,pc
9.586.89,mobile
5.474.821,pc
69.6.199,pc
1.513.7,raspberry
426.548.361,mobile
27.155.42,pc
252.177.328,laptop
229.999.637,mobile
47.4.652,laptop
383.699.582,pc
374.6.89,pc
92.73.83,mobile
92.24.41,laptop
59.38.5,mobile
966.371.9,raspberry
49.8.396,pc
5.38.27,mobile
863.939.1,pc
693.229.23,pc
494.711.66,laptop
4.463.63,laptop
37.612.642,raspberry
65.779.843,mobile
845.662.54,raspberry
738.758.49,pc
77.7.74,pc
327.58.347,laptop
745.11.37,pc
49.47.14,pc
23.46.971,laptop
7.9.54,laptop
65.67.446,pc
898.3.2,laptop
51.9.56,mobile
5.191.81,pc
17.726.755,raspberry
729.28.86,mobile
1.4.9,raspberry
845.48.968,pc
427.8.14,raspberry
58.996.12,raspberry
3.2.3,raspberry
799.7.98,raspberry
492.725.35,laptop
144.8.4,laptop
9.157.19,pc
192.42.23,raspberry
185.23.349,mobile
2.639.6,mobile
928.13.29,mobile
518.864.1,laptop
343.455.22,mobile
989.5.33,pc
336.2.47,raspberry
9.3.51,mobile
82.73.84,mobile
7.42.57,raspberry
99.5.598,laptop
3.21.876,pc
9.82.879,mobile
2.999.75,laptop
1.5.9,raspberry
57.1.651,pc
157.185.73,mobile
97.89.853,mobile
7.1.28,raspberry
8.7.19,pc
1.45.62,raspberry
6.746.11,laptop
48.343.6,laptop
8.96.73,pc
9.3.17,mobile
158.741.593,raspberry
197.8.86,laptop
323.31.67,laptop
5.6.512,laptop
1.9.8,laptop
6.77.22,mobile
8.52.52,laptop
5.89.425,pc
6.23.7,raspberry
3.49.51,raspberry
222.63.923,mobile
57.437.5,pc
587.6.821,mobile
776.4.886,raspberry
565.14.143,pc
298.535.973,laptop
54.6.5,raspberry
76.293.73,raspberry
34.1.299,raspberry
828.238.79,pc
86.99.39,pc
9.9.324,raspberry
59.292.38,pc
4.12.88,mobile
8.36.45,pc
57.84.9,laptop
1.11.77,raspberry
731.35.95,mobile
2.6.499,pc
8.497.199,raspberry
27.69.97,laptop
287.8.7,mobile
65.79.327,laptop
6.17.67,raspberry
447.9.544,raspberry
7.23.9,pc
3.8.18,mobile
4.749.5,mobile
64.192.75,laptop
223.468.52,mobile
249.2.852,pc
83.12.377,pc
73.5.534,mobile
668.7.154,mobile
52.16.321,pc
71.4.647,pc
7.178.227,raspberry
258.6.84,raspberry
177.868.417,raspberry
758.158.55,mobile
462.675.46,raspberry
37.47.59,mobile
